City,City_cd,OverallRank,State,BFRankOverall,BFRankEasebusiness,BFRankHiring,BFRankRegulations,BFRankHealthSafety,BFRankEmploymentLabor&HiringRegulations,BFRankTaxRegulations,EducationalTotalScore,Education&AttainmentGap,EducationalOverallRank,MobilePopulation,MobilePopulationrank,MobileOverallscore,MobileOverallrank,Diversityoverallrank,DiversityTotalScore,SocioeconomicDiversityrank,diversityRank,EconomicDiversityRank,HouseholdDiversityRank,ReligiousDiversityRank,TransitRank,TransitScore,TransitPopulation,PopulationTotal,PopulationRanking,locations,lat,Lon,OverallAverageRanking,OverallRank
Washington,Was,1,WV,32,42,14,20,18,17,22,77.39,36,2,4586770,8,96.8,40,32,69.45,18,106,417,455,17,4,9.3,647484,6131977,2,"[38.8899, -77.009]",38.8899,-77.009,19,1
Chicago,Chi,2, IL,62,60,31,68,62,66,70,54.84,55,33,8608208,3,97.6,8,11,70.64,100,36,255,252,76,6,9.1,2717802,2716450,4,"[41.8376, -87.6818]",41.8376,-87.6818,21,2
Austin,Aus,3, TX,19,25,39,30,32,23,16,66.14,5,8,1362416,36,97.2,25,38,69.16,12,73,157,328,253,44,5.1,867149,950715,12,"[30.3039, -97.7544]",30.3039,-97.7544,24,3
San Jose,San,4, CA,67,44,37,46,33,50,54,75.14,6,3,1664496,28,97.1,27,16,70.36,15,8,322,303,297,27,7.2,973138,1035317,11,"[37.2967, -121.8189]",37.2967,-121.8189,25,4
Dallas,Dal,5, TX,6,10,6,7,10,5,7,48.14,67,77,5121892,6,97.1,26,5,70.97,128,43,186,118,43,29,6.8,1267798,1341075,10,"[32.7933, -96.7665]",32.7933,-96.7665,26,5
Houston,Hou,6, TX,5,11,13,10,16,10,8,45.65,32,92,4944332,7,97.3,18,2,71.49,116,27,117,106,53,35,6.1,2260279,2312717,5,"[29.7866, -95.3909]",29.7866,-95.3909,26,6
New York,New,7, NY,47,65,4,45,31,39,47,56.87,13,29,899703,48,95.3,98,3,71.41,69,6,245,89,204,2,9.6,8426664,8622698,1,"[40.6635, -73.9387]",40.6635,-73.9387,30,7
Minneapolis,Min,8, MN,41,34,68,57,42,59,53,61.75,123,17,2650890,16,97.8,5,71,68.08,70,132,432,437,44,12,8.5,397663,422331,40,"[44.9633, -93.2683]",44.9633,-93.2683,31,8
Boston,Bos,9,MA,33,43,44,39,30,29,28,67.71,114,7,4181019,10,95.3,97,40,69.06,44,19,474,403,251,3,9.4,650281,685094,19,"[42.332, -71.0202]",42.332,-71.0202,33,9
Atlanta,Atl,10, GA,10,5,23,2,3,6,3,58.77,7,23,4515419,9,97.2,23,93,67.25,96,195,409,471,15,21,7.9,446271,486290,34,"[33.7629, -84.4227]",33.7629,-84.4227,34,10
San Diego,San,11, CA,54,70,48,64,70,72,59,60.68,2,20,2956746,15,96,73,19,70.24,6,17,191,173,302,36,6,1360661,1419516,9,"[32.8153, -117.135]",32.8153,-117.135,35,11
Raleigh,Ral,12, NC,25,19,45,36,37,24,31,63.53,136,13,884891,49,96.9,35,76,67.93,32,128,288,261,208,51,4.8,382517,464758,36,"[35.8306, -78.6418]",35.8306,-78.6418,39,12
Philadelphia,Phi,13, PA,48,49,19,48,36,38,45,53.26,94,42,5441567,5,97,32,104,67.03,337,99,397,270,152,7,9,1555072,1580863,7,"[40.0094, -75.1333]",40.0094,-75.1333,40,13
Sacramento,Sac,14, CA,73,67,61,78,78,78,78,51.94,87,53,1723634,27,97.4,14,34,69.38,137,15,19,60,397,34,6.4,473354,501901,32,"[38.5666, -121.4686]",38.5666,-121.4686,40,14
Nashville,Nas,15, TN,2,7,33,9,15,7,4,49.86,78,61,969587,43,97.3,17,56,68.43,105,147,235,202,64,12,8.5,397663,147682,93,"[41.7492, -88.162]",41.7492,-88.162,40,15
Los Angeles,Los,16, CA,63,69,25,63,66,63,61,44.55,37,98,12150996,2,96.7,49,7,70.87,77,20,64,75,211,22,7.7,3891060,3999759,3,"[34.0194, -118.4108]",34.0194,-118.4108,40,16
San Francisco,San,17, CA,76,75,71,77,73,62,75,71.07,21,5,3281212,13,95.7,86,65,68.22,25,11,411,412,411,1,9.6,840763,884363,14,"[37.7272, -123.0322]",37.7272,-123.0322,41,17
Phoenix,Pho,18, AZ,30,24,36,34,27,34,36,48.39,59,74,3629114,12,96.7,48,63,68.24,156,57,139,49,340,38,5.7,1496660,1626078,6,"[33.5722, -112.0901]",33.5722,-112.0901,43,18
Charlotte,Cha,19, NC,23,33,9,25,24,16,23,51.5,33,54,1249442,37,95.8,82,28,69.67,63,80,342,194,91,57,4.2,764226,859035,17,"[35.2078, -80.831]",35.2078,-80.831,44,19
Kansas City,Kan,20, MO,21,9,15,12,28,11,17,55.28,102,32,1519417,30,97.6,9,123,66.61,208,181,209,201,140,52,4.8,471446,488943,33,"[39.1251, -94.551]",39.1251,-94.551,45,20
Richmond,Ric,21, VA,14,15,2,6,8,2,21,53.02,70,43,953556,44,97.9,2,52,68.48,203,206,279,399,1,51,4.8,382517,110040,127,"[37.9523, -122.3606]",37.9523,-122.3606,48,21
Durham,Dur,22, NC,39,48,18,23,21,22,38,72.77,12,4,347602,109,95.4,94,67,68.16,39,89,459,234,209,31,6.8,690077,267743,55,"[35.9811, -78.9029]",35.9811,-78.9029,48,22
San Antonio,San,23, TX,1,1,27,1,1,1,1,43.17,25,107,1758210,25,95.7,88,57,68.41,205,126,132,36,102,39,5.5,1416891,1511946,8,"[29.4724, -98.5251]",29.4724,-98.5251,50,23
Fresno,Fre,24, CA,4,16,29,5,22,8,5,25.54,53,142,654628,62,96.8,43,31,69.49,302,55,21,10,190,49,5,480270,527438,31,"[36.7836, -119.7934]",36.7836,-119.7934,50,24
Oklahoma City,Okl,25, OK,35,40,17,44,63,42,34,49.06,17,68,861505,50,96.6,53,48,68.65,179,117,55,175,112,74,2.6,613223,643648,25,"[35.4671, -97.5137]",35.4671,-97.5137,51,25
Denver,Den,26, CO,17,18,50,43,38,45,37,62.41,99,14,2374203,18,94.3,114,36,69.27,30,85,293,354,126,19,7.9,649571,136268,103,"[33.2166, -97.1414]",33.2166,-97.1414,51,26
Orlando,Orl,27, FL,31,39,11,14,25,20,15,47.95,45,80,1510516,31,96.8,44,68,68.15,260,26,430,166,296,28,7.1,250981,280257,53,"[28.4166, -81.2736]",28.4166,-81.2736,51,27
Bridgeport,Bri,28, CT,75,71,76,72,75,77,72,65.94,140,10,4181019,10,95.3,97,25,69.88,323,16,241,15,162,3,9.4,650281,146579,97,"[41.1874, -73.1958]",41.1874,-73.1958,51,28
Tampa,Tam,29, FL,28,28,47,21,35,30,10,46.42,52,86,2441770,17,97,30,81,67.59,185,61,303,168,336,40,5.4,354242,385430,44,"[27.9701, -82.4797]",27.9701,-82.4797,52,29
Seattle,Sea,30, WA,40,32,54,54,50,56,57,66.13,22,9,3059393,14,96.4,60,171,65.57,7,138,445,442,374,16,8.1,653477,724745,18,"[47.6205, -122.3509]",47.6205,-122.3509,52,30
Jacksonville,Jac,31, FL,9,8,16,17,26,19,27,48.34,68,75,1065219,39,95.9,75,80,67.67,265,151,199,87,83,63,3.8,849975,892062,13,"[30.3369, -81.6616]",30.3369,-81.6616,53,31
